kommune,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4,2002K1,2002K2,2002K3,2002K4,2003K1,2003K2,2003K3,2003K4,2004K1,2004K2,2004K3,2004K4,2005K1,2005K2,2005K3,2005K4,2006K1,2006K2,2006K3,2006K4,2007K1,2007K2,2007K3,2007K4,2008K1,2008K2,2008K3,2008K4,2009K1,2009K2,2009K3,2009K4,2010K1,2010K2,2010K3,2010K4,2011K1,2011K2,2011K3,2011K4,2012K1,2012K2,2012K3,2012K4,2013K1,2013K2,2013K3,2013K4,2014K1,2014K2,2014K3,2014K4,2015K1,2015K2,2015K3,2015K4,2016K1,2016K2,2016K3,2016K4,2017K1,2017K2,2017K3,2017K4,2018K1,2018K2,2018K3,2018K4,2019K1,2019K2,2019K3,2019K4,2020K1,2020K2,2020K3,2020K4,2021K1,2021K2,2021K3,2021K4,2022K1,2022K2,2022K3,2022K4,2023K1,2023K2,2023K3,2023K4,2024K1,2024K2,2024K3,2024K4,2025K1,2025K2,2025K3,2025K4
København,5355.0,5451.0,5374.0,5171.0,5068.0,5186.0,5609.0,5519.0,5503.0,5885.0,5621.0,5328.0,5675.0,5924.0,6014.0,6299.0,6764.0,6991.0,7210.0,7227.0,7670.0,8263.0,8234.0,8520.0,9201.0,9275.0,9606.0,9762.0,9925.0,10590.0,10479.0,11078.0,10637.0,11422.0,11737.0,12562.0,12419.0,13571.0,13713.0,13422.0,14159.0,14256.0,14364.0,14191.0,14333.0,15552.0,15222.0,15715.0,16139,16857.0,17269.0,18771,19501.0,21562,23821,25553,27206.0,27479.0,28366.0,29214.0,27942.0,27929.0,26836,25853.0,26852.0,26058,24502.0,22342.0,20825.0,20847.0,21954,22090.0,22775.0,24160.0,24260.0,24357.0,23203.0,25144.0,24307.0,22525.0,22289.0,23782.0,23343.0,22932.0,24217,24611.0,24334.0,25883.0,25429.0,26568.0,27162.0,27951.0,28418.0,29930.0,30276.0,29875.0,31561.0,31159,32114,30752,32044.0,33937.0,34306,34013,36761,35334.0,35701,37494.0,36347,36170,37003,38894,37680.0,38803,40458.0,42173,45636,46966,49455,47726.0,48374,50514.0,49173,45821,43538.0,46023.0,47651,48146.0,47769.0,51843,52011,54134.0,56649.0,56876.0,59198.0,60048.0
Frederiksberg,5183.0,5626.0,6980.0,6686.0,5537.0,7047.0,6651.0,6174.0,6558.0,6496.0,7283.0,6955.0,7607.0,7165.0,8643.0,8477.0,8174.0,8311.0,8964.0,8772.0,9346.0,9861.0,9806.0,11098.0,10158.0,11822.0,12685.0,13918.0,13288.0,12046.0,10594.0,13914.0,14408.0,14873.0,14358.0,14398.0,14780.0,13367.0,16015.0,17453.0,15969.0,17821.0,18965.0,17760.0,17567.0,17761.0,17187.0,21085.0,16856,19514.0,22247.0,24577,26096.0,24395,29267,29533,33092.0,36617.0,36693.0,30346.0,31868.0,36518.0,30994,,39382.0,36224,32944.0,31799.0,24743.0,30706.0,27445,26027.0,32509.0,34462.0,32431.0,35141.0,37246.0,37048.0,25077.0,28405.0,27052.0,27321.0,33137.0,34696.0,35653,34015.0,30697.0,33955.0,38057.0,35275.0,36666.0,38240.0,39828.0,43955.0,40725.0,43772.0,35664.0,44624,42008,42545,46969.0,43342.0,52597,53700,49203,50998.0,49540,49267.0,48487,50732,48625,53979,47843.0,52770,54290.0,64237,63713,74204,73317,77872.0,80966,90010.0,76430,59159,67716.0,67981.0,69455,72835.0,69100.0,75199,79964,79799.0,82820.0,95243.0,82820.0,85967.0
Dragør,6251.0,6472.0,6364.0,6246.0,6158.0,6438.0,6573.0,6261.0,5969.0,6398.0,6272.0,6229.0,6983.0,6703.0,6727.0,7197.0,6739.0,8059.0,8108.0,8375.0,8830.0,9208.0,9129.0,10035.0,9603.0,10515.0,12019.0,11596.0,12021.0,11485.0,12332.0,11973.0,11910.0,12342.0,12966.0,13220.0,13040.0,12660.0,14936.0,16129.0,14115.0,14907.0,14389.0,14297.0,14566.0,13961.0,14490.0,13628.0,16889,16299.0,18041.0,15366,17992.0,20587,19761,23984,25904.0,27164.0,26416.0,27885.0,26814.0,29851.0,28954,23742.0,26801.0,24872,26575.0,23058.0,22542.0,18738.0,20278,21627.0,21636.0,22044.0,21521.0,23537.0,22113.0,20999.0,22463.0,22664.0,23083.0,19853.0,20733.0,21718.0,22948,23766.0,23803.0,23063.0,24022.0,22705.0,23788.0,24293.0,23645.0,26134.0,26210.0,26137.0,26962.0,27565,25777,27262,25850.0,27822.0,27944,28602,30477,28407.0,28044,29931.0,28374,29640,29270,31196,29128.0,32128,33646.0,31565,35614,39863,37155,38977.0,39221,39422.0,40516,34325,33809.0,33105.0,35803,33492.0,34092.0,35732,41012,36299.0,36361.0,38579.0,40652.0,38324.0
Tårnby,5747.0,6003.0,6075.0,5856.0,5275.0,5860.0,5976.0,5916.0,6196.0,6167.0,6113.0,5968.0,6172.0,6299.0,6316.0,6911.0,6727.0,6933.0,7277.0,7523.0,7458.0,8474.0,8891.0,9189.0,9153.0,9758.0,9679.0,9878.0,10095.0,10506.0,10608.0,10738.0,9645.0,11759.0,11454.0,12004.0,12361.0,12348.0,13047.0,13167.0,12894.0,13776.0,13324.0,13548.0,13189.0,13704.0,14085.0,13729.0,14809,14968.0,15562.0,16952,16593.0,19156,20000,22150,24487.0,26348.0,25070.0,24555.0,23225.0,23945.0,23831,23753.0,22341.0,22000,21295.0,19066.0,17070.0,17431.0,18028,18241.0,18108.0,19127.0,19467.0,19670.0,19038.0,19674.0,19129.0,18896.0,17417.0,18042.0,19078.0,18386.0,18540,19386.0,21018.0,20756.0,20155.0,21159.0,22462.0,21727.0,22256.0,23639.0,23595.0,23417.0,25013.0,24704,24287,25927,25551.0,27989.0,27506,27322,27121,27916.0,27943,27824.0,28288,28657,28114,29438,28553.0,28693,29363.0,29819,32239,36583,36839,34563.0,35810,35743.0,33857,30287,30923.0,31249.0,33712,34524.0,32718.0,35569,34602,35794.0,36833.0,37717.0,38196.0,39559.0
Albertslund,5240.0,5408.0,5417.0,5341.0,5130.0,4773.0,5746.0,5492.0,5616.0,5235.0,5475.0,5455.0,6318.0,6160.0,6197.0,6238.0,6571.0,6568.0,7248.0,7574.0,7718.0,8260.0,7797.0,8729.0,7602.0,9026.0,8272.0,8743.0,9179.0,9246.0,9845.0,9993.0,9927.0,10457.0,10544.0,9839.0,10922.0,10827.0,10269.0,10671.0,12012.0,11536.0,11341.0,12321.0,12304.0,12327.0,12633.0,12832.0,12319,12892.0,14062.0,14656,14912.0,16194,17382,17804,18667.0,20581.0,21372.0,21221.0,20732.0,20233.0,19054,18189.0,18770.0,18378,17984.0,16401.0,15775.0,15327.0,15478,15831.0,16499.0,16128.0,15860.0,17309.0,17045.0,16268.0,15363.0,15549.0,15404.0,15444.0,15830.0,15374.0,14771,16232.0,15041.0,15703.0,15412.0,16657.0,16212.0,16512.0,16617.0,17284.0,17749.0,17595.0,17802.0,18469,19612,18988,19830.0,20553.0,19403,19643,20223,20710.0,20666,21841.0,20454,21093,20043,21112,21970.0,21426,22015.0,22304,24771,23988,23571,24818.0,24458,23885.0,24804,23622,23417.0,23360.0,23703,24200.0,23486.0,24548,24941,26799.0,25775.0,26986.0,26986.0,27837.0
Ballerup,5696.0,6015.0,5771.0,5203.0,5925.0,5647.0,5813.0,6163.0,6132.0,6292.0,6770.0,6474.0,6379.0,6803.0,7196.0,7006.0,7622.0,8094.0,7769.0,8400.0,8647.0,8596.0,9203.0,9286.0,9232.0,9989.0,9853.0,10473.0,10242.0,10724.0,11071.0,11092.0,10696.0,11131.0,12114.0,11476.0,12189.0,12152.0,12408.0,12431.0,13059.0,13035.0,13260.0,12755.0,12529.0,13374.0,12881.0,13194.0,14333,15000.0,15877.0,16584,16690.0,17763,20267,21326,22071.0,23498.0,24559.0,21869.0,23464.0,24011.0,23347,22465.0,21067.0,21310,20585.0,17216.0,17168.0,17277.0,17137,18867.0,17852.0,19766.0,19143.0,19853.0,20740.0,19407.0,18928.0,17961.0,17319.0,17055.0,19122.0,17787.0,17451,18638.0,19253.0,17828.0,16996.0,18745.0,19716.0,19917.0,19495.0,20457.0,21138.0,19692.0,21434.0,21811,21410,22152,22131.0,22655.0,22088,23272,23045,23848.0,23531,23291.0,24341,24302,24665,24458,23892.0,25538,25359.0,28231,27534,30590,30285,31079.0,30121,30865.0,29330,29404,28512.0,27256.0,29300,29008.0,29088.0,30221,30813,29746.0,33281.0,34546.0,35444.0,35245.0
Brøndby,5663.0,6501.0,5947.0,5846.0,4823.0,6205.0,6752.0,6263.0,6934.0,6414.0,6342.0,5963.0,6350.0,6671.0,6709.0,7133.0,7357.0,7416.0,6920.0,8378.0,7877.0,9331.0,9046.0,8872.0,9703.0,9457.0,10749.0,10770.0,10148.0,11235.0,10985.0,10603.0,10791.0,11640.0,11403.0,11172.0,11373.0,11651.0,12328.0,12842.0,12680.0,12802.0,13501.0,13162.0,12329.0,13389.0,13718.0,13349.0,13100,14494.0,15555.0,16397,16515.0,17474,19421,20873,21987.0,24701.0,23711.0,24287.0,22428.0,22484.0,20567,21766.0,19132.0,21214,19163.0,18290.0,17028.0,16143.0,16747,17001.0,17084.0,18105.0,18456.0,18519.0,17306.0,19196.0,17387.0,19431.0,16526.0,16568.0,15818.0,16400.0,17249,16345.0,17724.0,16245.0,18263.0,17751.0,18516.0,18488.0,18601.0,18717.0,19444.0,20466.0,21158.0,20900,21378,21419,20687.0,22329.0,21765,22261,22929,23537.0,22268,23873.0,24036,24433,24765,23950,24475.0,24144,25751.0,25912,27702,28183,29788,28686.0,30537,29497.0,29286,26125,27103.0,26368.0,26712,25921.0,28633.0,29854,28456,29431.0,30949.0,30175.0,31506.0,32589.0
Gentofte,6783.0,7378.0,7288.0,6860.0,6692.0,6840.0,7348.0,7667.0,7652.0,8114.0,8119.0,8204.0,8018.0,8256.0,8912.0,9267.0,9444.0,9119.0,9467.0,10282.0,10462.0,10344.0,11035.0,10564.0,11802.0,12685.0,13159.0,12808.0,13263.0,13724.0,14156.0,13716.0,14408.0,14805.0,15993.0,16040.0,16514.0,16711.0,16819.0,17129.0,17475.0,17331.0,17222.0,18166.0,17590.0,17700.0,18656.0,17539.0,19688,20004.0,22731.0,22843,24872.0,27125,29973,31944,35761.0,37020.0,36190.0,38038.0,36114.0,34251.0,33415,33397.0,32308.0,30940,29845.0,27759.0,25799.0,26529.0,28160,28427.0,30179.0,31926.0,32184.0,31726.0,32193.0,30414.0,28593.0,29322.0,29012.0,28675.0,29856.0,29438.0,30475,32221.0,31586.0,31373.0,32411.0,33656.0,33961.0,34237.0,33574.0,36560.0,35295.0,36788.0,36060.0,36767,39197,39404,40616.0,41306.0,41881,40977,41285,41921.0,42675,42353.0,43232,44028,45592,45414,45853.0,46541,48728.0,52652,55083,58967,59519,62877.0,63399,63581.0,59112,54914,52584.0,58970.0,57708,56496.0,56506.0,56348,56866,63441.0,63309.0,63562.0,64892.0,70210.0
Gladsaxe,6157.0,6163.0,6374.0,5533.0,5850.0,6147.0,6300.0,6370.0,6470.0,6505.0,6629.0,6712.0,6514.0,7060.0,7368.0,7459.0,8127.0,8060.0,8495.0,8685.0,8850.0,9427.0,9675.0,9490.0,10071.0,10946.0,11451.0,11188.0,11446.0,11180.0,11674.0,11850.0,11721.0,12136.0,12813.0,12829.0,13362.0,13855.0,13951.0,13386.0,14144.0,14292.0,14915.0,14705.0,14782.0,15264.0,15421.0,15610.0,15853,16907.0,16357.0,17658,19171.0,20543,22434,25107,27100.0,28892.0,28480.0,27366.0,26904.0,26265.0,26031,24643.0,26033.0,25073,22221.0,21267.0,19012.0,20066.0,20129,20384.0,20828.0,22168.0,21775.0,23196.0,23769.0,23582.0,22578.0,20727.0,20260.0,20933.0,21143.0,22526.0,21757,23034.0,22456.0,23109.0,23016.0,22696.0,23387.0,24127.0,26113.0,25957.0,26899.0,26786.0,28260.0,29058,29651,28330,28676.0,28547.0,29430,28611,29440,30479.0,32299,30902.0,29975,32333,31526,31117,32293.0,32707,33215.0,33042,34217,37238,38769,39277.0,39846,40158.0,37385,36348,36647.0,36071.0,37903,38726.0,38884.0,40007,40931,41064.0,43392.0,44694.0,44650.0,48209.0
Glostrup,5401.0,5106.0,4992.0,4602.0,4490.0,5017.0,5524.0,4687.0,5234.0,5947.0,5524.0,5953.0,5243.0,6421.0,6484.0,6680.0,6602.0,7258.0,7664.0,7728.0,8054.0,7775.0,8602.0,8053.0,9276.0,8540.0,8988.0,8922.0,9343.0,9838.0,9861.0,10252.0,10395.0,10186.0,9792.0,10484.0,10960.0,11137.0,11218.0,10631.0,11413.0,12439.0,12125.0,12458.0,12293.0,12918.0,12855.0,12425.0,14024,14085.0,13056.0,15548,16230.0,17725,19719,21743,23121.0,20844.0,23815.0,23765.0,22321.0,24218.0,22787,22522.0,19490.0,18894,19701.0,19214.0,15429.0,18577.0,16744,17714.0,18918.0,18103.0,19782.0,17845.0,17551.0,16224.0,17660.0,16414.0,17136.0,16106.0,17443.0,18082.0,18053,17689.0,19555.0,17760.0,16695.0,18092.0,18465.0,19290.0,18699.0,19710.0,20947.0,20748.0,20769.0,22176,21390,22033,22067.0,22311.0,22447,24176,24248,25219.0,24833,25878.0,24167,23486,26628,24371,24525.0,25110,25492.0,26732,27708,29318,30111,30264.0,32052,31831.0,30695,29238,25866.0,28410.0,30474,28096.0,28450.0,30041,30586,31047.0,30121.0,32742.0,32922.0,34910.0
