kommune,år,income
København,1992,144390
Frederiksberg,1992,174495
Dragør,1992,203082
Tårnby,1992,170590
Albertslund,1992,163585
Ballerup,1992,170094
Brøndby,1992,162441
Gentofte,1992,232866
Gladsaxe,1992,166418
Glostrup,1992,168078
Herlev,1992,165177
Hvidovre,1992,160301
Høje-Taastrup,1992,170568
Ishøj,1992,162136
Lyngby-Taarbæk,1992,196568
Rødovre,1992,162544
Vallensbæk,1992,199674
Allerød,1992,202847
Egedal,1992,190252
Fredensborg,1992,187850
Frederikssund,1992,165331
Furesø,1992,207175
Gribskov,1992,163677
Halsnæs,1992,151796
Helsingør,1992,165917
Hillerød,1992,176369
Hørsholm,1992,234254
Rudersdal,1992,237720
Bornholm,1992,135208
Greve,1992,184329
Køge,1992,162079
Lejre,1992,174616
Roskilde,1992,173378
Solrød,1992,187450
Faxe,1992,149970
Guldborgsund,1992,136759
Holbæk,1992,151580
Kalundborg,1992,148490
Lolland,1992,132992
Næstved,1992,147806
Odsherred,1992,142715
Ringsted,1992,152588
Slagelse,1992,147822
Sorø,1992,146229
Stevns,1992,154030
Vordingborg,1992,139165
Assens,1992,140579
Faaborg-Midtfyn,1992,142072
Kerteminde,1992,151249
Langeland,1992,127712
Middelfart,1992,147390
Nordfyns,1992,140697
Nyborg,1992,146780
Odense,1992,144848
Svendborg,1992,142756
Ærø,1992,129029
Billund,1992,154505
Esbjerg,1992,152357
Fanø,1992,154562
Fredericia,1992,153260
Haderslev,1992,143554
Kolding,1992,152368
Sønderborg,1992,146201
Tønder,1992,138044
Varde,1992,145233
Vejen,1992,141363
Vejle,1992,151599
Aabenraa,1992,144251
Favrskov,1992,151698
Hedensted,1992,146296
Horsens,1992,147275
Norddjurs,1992,140915
Odder,1992,151959
Randers,1992,142808
Samsø,1992,124545
Silkeborg,1992,150002
Skanderborg,1992,158534
Syddjurs,1992,146767
Aarhus,1992,154181
Herning,1992,149882
Holstebro,1992,144970
Ikast-Brande,1992,146571
Lemvig,1992,141156
Ringkøbing-Skjern,1992,142739
Skive,1992,141403
Struer,1992,144226
Viborg,1992,145173
Brønderslev,1992,134605
Frederikshavn,1992,145442
Hjørring,1992,140267
Jammerbugt,1992,137896
Læsø,1992,130902
Mariagerfjord,1992,138311
Morsø,1992,132753
Rebild,1992,143573
Thisted,1992,139057
Vesthimmerland,1992,134061
Aalborg,1992,146714
København,1993,146145
Frederiksberg,1993,179198
Dragør,1993,206589
Tårnby,1993,171550
Albertslund,1993,165338
Ballerup,1993,172848
Brøndby,1993,161779
Gentofte,1993,236742
Gladsaxe,1993,168183
Glostrup,1993,167904
Herlev,1993,166930
Hvidovre,1993,162323
Høje-Taastrup,1993,171207
Ishøj,1993,161920
Lyngby-Taarbæk,1993,200710
Rødovre,1993,163931
Vallensbæk,1993,201452
Allerød,1993,206120
Egedal,1993,192808
Fredensborg,1993,189412
Frederikssund,1993,168281
Furesø,1993,204798
Gribskov,1993,165970
Halsnæs,1993,152896
Helsingør,1993,168376
Hillerød,1993,179225
Hørsholm,1993,251344
Rudersdal,1993,239218
Bornholm,1993,138160
Greve,1993,187371
Køge,1993,165111
Lejre,1993,178921
Roskilde,1993,176491
Solrød,1993,199567
Faxe,1993,152572
Guldborgsund,1993,139897
Holbæk,1993,153569
Kalundborg,1993,151126
Lolland,1993,135187
Næstved,1993,150479
Odsherred,1993,145773
Ringsted,1993,154505
Slagelse,1993,151615
Sorø,1993,149661
Stevns,1993,158021
Vordingborg,1993,143038
Assens,1993,142675
Faaborg-Midtfyn,1993,144213
Kerteminde,1993,152652
Langeland,1993,130115
Middelfart,1993,150719
Nordfyns,1993,142866
Nyborg,1993,147431
Odense,1993,148110
Svendborg,1993,145156
Ærø,1993,129686
Billund,1993,158602
Esbjerg,1993,155055
Fanø,1993,159163
Fredericia,1993,156645
Haderslev,1993,146964
Kolding,1993,156005
Sønderborg,1993,149618
Tønder,1993,141474
Varde,1993,148074
Vejen,1993,144646
Vejle,1993,153057
Aabenraa,1993,147441
Favrskov,1993,154505
Hedensted,1993,149478
Horsens,1993,149784
Norddjurs,1993,143023
Odder,1993,153171
Randers,1993,145865
Samsø,1993,127077
Silkeborg,1993,155685
Skanderborg,1993,160132
Syddjurs,1993,150064
Aarhus,1993,155833
Herning,1993,152107
Holstebro,1993,148354
Ikast-Brande,1993,150109
Lemvig,1993,142898
Ringkøbing-Skjern,1993,146903
Skive,1993,146218
Struer,1993,147203
Viborg,1993,147393
Brønderslev,1993,137333
Frederikshavn,1993,147749
Hjørring,1993,143263
Jammerbugt,1993,141150
Læsø,1993,130041
Mariagerfjord,1993,141552
Morsø,1993,136131
Rebild,1993,146862
Thisted,1993,141354
Vesthimmerland,1993,136425
Aalborg,1993,149406
København,1994,157207
Frederiksberg,1994,189530
Dragør,1994,211044
Tårnby,1994,179304
Albertslund,1994,173912
Ballerup,1994,181751
Brøndby,1994,169097
Gentofte,1994,252588
Gladsaxe,1994,177728
Glostrup,1994,178336
Herlev,1994,174879
Hvidovre,1994,170589
Høje-Taastrup,1994,180567
Ishøj,1994,171028
Lyngby-Taarbæk,1994,209705
Rødovre,1994,173311
Vallensbæk,1994,208925
Allerød,1994,214698
Egedal,1994,202054
Fredensborg,1994,199857
Frederikssund,1994,177055
Furesø,1994,218208
Gribskov,1994,176644
Halsnæs,1994,162174
Helsingør,1994,177560
Hillerød,1994,190395
Hørsholm,1994,249200
Rudersdal,1994,236149
Bornholm,1994,148295
Greve,1994,195623
Køge,1994,175066
Lejre,1994,186909
Roskilde,1994,186252
Solrød,1994,202392
Faxe,1994,162060
Guldborgsund,1994,148886
Holbæk,1994,164987
Kalundborg,1994,161739
Lolland,1994,144867
Næstved,1994,161144
Odsherred,1994,155935
Ringsted,1994,165975
Slagelse,1994,160802
Sorø,1994,160508
Stevns,1994,167132
Vordingborg,1994,153455
Assens,1994,154963
Faaborg-Midtfyn,1994,154772
Kerteminde,1994,164819
Langeland,1994,139292
Middelfart,1994,161685
Nordfyns,1994,153867
Nyborg,1994,156667
Odense,1994,157689
Svendborg,1994,153921
Ærø,1994,141433
Billund,1994,171735
Esbjerg,1994,165351
Fanø,1994,167692
Fredericia,1994,166447
Haderslev,1994,156528
Kolding,1994,166836
Sønderborg,1994,159297
Tønder,1994,153159
Varde,1994,159974
Vejen,1994,155791
Vejle,1994,165045
Aabenraa,1994,159478
Favrskov,1994,167200
Hedensted,1994,160502
Horsens,1994,161414
Norddjurs,1994,153690
Odder,1994,163113
Randers,1994,156909
Samsø,1994,139861
Silkeborg,1994,166052
Skanderborg,1994,170841
Syddjurs,1994,158370
Aarhus,1994,165863
Herning,1994,163697
Holstebro,1994,160288
Ikast-Brande,1994,158021
Lemvig,1994,154316
Ringkøbing-Skjern,1994,157992
Skive,1994,156177
Struer,1994,156445
Viborg,1994,158490
Brønderslev,1994,148138
Frederikshavn,1994,157764
Hjørring,1994,153550
Jammerbugt,1994,151669
Læsø,1994,143363
Mariagerfjord,1994,153300
Morsø,1994,146071
Rebild,1994,158777
Thisted,1994,151948
Vesthimmerland,1994,148976
Aalborg,1994,159249
København,1995,161926
Frederiksberg,1995,197266
Dragør,1995,220330
Tårnby,1995,184378
Albertslund,1995,179120
Ballerup,1995,187775
Brøndby,1995,173362
Gentofte,1995,262829
Gladsaxe,1995,184409
Glostrup,1995,183864
Herlev,1995,179964
Hvidovre,1995,175844
Høje-Taastrup,1995,186875
Ishøj,1995,175433
Lyngby-Taarbæk,1995,216042
Rødovre,1995,177831
Vallensbæk,1995,215289
Allerød,1995,223112
Egedal,1995,211242
Fredensborg,1995,207920
Frederikssund,1995,185364
Furesø,1995,227734
Gribskov,1995,183020
Halsnæs,1995,169157
Helsingør,1995,185110
Hillerød,1995,196630
Hørsholm,1995,276546
Rudersdal,1995,258547
Bornholm,1995,153031
Greve,1995,203390
Køge,1995,182091
Lejre,1995,195706
Roskilde,1995,195011
Solrød,1995,210893
Faxe,1995,169095
Guldborgsund,1995,154834
Holbæk,1995,171705
