kommune,år,tilflytning,fraflytning,net_migration,population,migration_rate,migration_per_1000
Aabenraa,1992,3667.0,3946.0,-279.0,59903,-0.004657529672971303,-4.657529672971303
Aabenraa,1993,3707.0,3921.0,-214.0,59839,-0.003576262972309029,-3.576262972309029
Aabenraa,1994,3842.0,4363.0,-521.0,60036,-0.008678126457458859,-8.678126457458859
Aabenraa,1995,3966.0,4201.0,-235.0,59999,-0.0039167319455324255,-3.9167319455324257
Aabenraa,1996,3910.0,3937.0,-27.0,60045,-0.0004496627529352985,-0.4496627529352985
Aabenraa,1997,3730.0,4113.0,-383.0,60434,-0.006337492140185988,-6.337492140185988
Aabenraa,1998,3675.0,3976.0,-301.0,60296,-0.00499203927292026,-4.992039272920261
Aabenraa,1999,3745.0,3958.0,-213.0,60189,-0.003538852614265065,-3.538852614265065
Aabenraa,2000,3754.0,3989.0,-235.0,60116,-0.003909109055825404,-3.9091090558254042
Aabenraa,2001,3778.0,3959.0,-181.0,60025,-0.0030154102457309456,-3.0154102457309455
Aabenraa,2002,3640.0,3725.0,-85.0,60066,-0.0014151100456164885,-1.4151100456164885
Aabenraa,2003,3852.0,3890.0,-38.0,60016,-0.0006331644894694748,-0.6331644894694748
Aabenraa,2004,3935.0,4056.0,-121.0,60074,-0.0020141825082398376,-2.0141825082398377
Aabenraa,2005,3725.0,4060.0,-335.0,60151,-0.0055693172183338595,-5.569317218333859
Aabenraa,2006,2510.0,2706.0,-196.0,59974,-0.003268082835895555,-3.2680828358955547
Aabenraa,2007,2403.0,2519.0,-116.0,60189,-0.001927262456595059,-1.927262456595059
Aabenraa,2008,2320.0,2449.0,-129.0,60392,-0.0021360445092065174,-2.1360445092065174
Aabenraa,2009,2077.0,2518.0,-441.0,59978,-0.007352695988529128,-7.352695988529128
Aabenraa,2010,2113.0,2322.0,-209.0,59795,-0.003495275524709424,-3.495275524709424
Aabenraa,2011,2128.0,2409.0,-281.0,59600,-0.004714765100671141,-4.714765100671141
Aabenraa,2012,2084.0,2464.0,-380.0,59208,-0.00641805161464667,-6.41805161464667
Aabenraa,2013,1998.0,2312.0,-314.0,58970,-0.005324741393929117,-5.324741393929116
Aabenraa,2014,2159.0,2336.0,-177.0,58904,-0.0030048893114219748,-3.004889311421975
Aabenraa,2015,2105.0,2385.0,-280.0,58869,-0.0047563233620411425,-4.756323362041143
Aabenraa,2016,2232.0,2496.0,-264.0,59003,-0.004474348761927359,-4.474348761927359
Aabenraa,2017,2393.0,2532.0,-139.0,59089,-0.002352383692396216,-2.352383692396216
Aabenraa,2018,2304.0,2613.0,-309.0,59035,-0.00523418311171339,-5.23418311171339
Aabenraa,2019,2215.0,2562.0,-347.0,58761,-0.0059052773097802965,-5.905277309780296
Aabenraa,2020,2273.0,2579.0,-306.0,58526,-0.005228445477223798,-5.228445477223798
Aabenraa,2021,2378.0,2778.0,-400.0,58693,-0.006815122757398668,-6.815122757398668
Aabenraa,2022,2101.0,2730.0,-629.0,59002,-0.010660655570997593,-10.660655570997593
Aabenraa,2023,1997.0,2500.0,-503.0,58657,-0.008575276608077467,-8.575276608077466
Aabenraa,2024,2048.0,2374.0,-326.0,58621,-0.00556114702922161,-5.56114702922161
Aabenraa,2025,1964.0,2465.0,-501.0,58405,-0.008578032702679565,-8.578032702679565
Aalborg,1992,8205.0,8074.0,131.0,184001,0.0007119526524312368,0.7119526524312368
Aalborg,1993,8392.0,8158.0,234.0,184815,0.0012661309958607256,1.2661309958607256
Aalborg,1994,8975.0,9014.0,-39.0,185610,-0.00021011798933247131,-0.2101179893324713
Aalborg,1995,9458.0,9514.0,-56.0,186415,-0.00030040501032642223,-0.30040501032642225
Aalborg,1996,9680.0,9637.0,43.0,187632,0.00022917199624797476,0.22917199624797477
Aalborg,1997,9433.0,9787.0,-354.0,188595,-0.0018770380975105384,-1.8770380975105385
Aalborg,1998,9697.0,10093.0,-396.0,188752,-0.002097991014664745,-2.097991014664745
Aalborg,1999,9489.0,9808.0,-319.0,189245,-0.0016856455916933076,-1.6856455916933075
Aalborg,2000,9540.0,9527.0,13.0,189476,6.861027254111338e-05,0.06861027254111339
Aalborg,2001,9614.0,9326.0,288.0,190181,0.0015143468590448047,1.5143468590448046
Aalborg,2002,9435.0,9514.0,-79.0,191051,-0.0004135021538751433,-0.41350215387514333
Aalborg,2003,9684.0,9518.0,166.0,191325,0.0008676336077355286,0.8676336077355286
