kommune,år,population
Aabenraa,1992,59903
Aabenraa,1993,59839
Aabenraa,1994,60036
Aabenraa,1995,59999
Aabenraa,1996,60045
Aabenraa,1997,60434
Aabenraa,1998,60296
Aabenraa,1999,60189
Aabenraa,2000,60116
Aabenraa,2001,60025
Aabenraa,2002,60066
Aabenraa,2003,60016
Aabenraa,2004,60074
Aabenraa,2005,60151
Aabenraa,2006,59974
Aabenraa,2007,60189
Aabenraa,2008,60392
Aabenraa,2009,59978
Aabenraa,2010,59795
Aabenraa,2011,59600
Aabenraa,2012,59208
Aabenraa,2013,58970
Aabenraa,2014,58904
Aabenraa,2015,58869
Aabenraa,2016,59003
Aabenraa,2017,59089
Aabenraa,2018,59035
Aabenraa,2019,58761
Aabenraa,2020,58526
Aabenraa,2021,58693
Aabenraa,2022,59002
Aabenraa,2023,58657
Aabenraa,2024,58621
Aabenraa,2025,58405
Aalborg,1992,184001
Aalborg,1993,184815
Aalborg,1994,185610
Aalborg,1995,186415
Aalborg,1996,187632
Aalborg,1997,188595
Aalborg,1998,188752
Aalborg,1999,189245
Aalborg,2000,189476
Aalborg,2001,190181
Aalborg,2002,191051
Aalborg,2003,191325
Aalborg,2004,192188
Aalborg,2005,192353
Aalborg,2006,193529
Aalborg,2007,195145
Aalborg,2008,196292
Aalborg,2009,197426
Aalborg,2010,199188
Aalborg,2011,201142
Aalborg,2012,203448
Aalborg,2013,205809
Aalborg,2014,207805
Aalborg,2015,210316
Aalborg,2016,211937
Aalborg,2017,213558
Aalborg,2018,215312
Aalborg,2019,217075
Aalborg,2020,219487
Aalborg,2021,221082
Aalborg,2022,222571
Aalborg,2023,223174
Aalborg,2024,224612
Aalborg,2025,226033
Aarhus,1992,267873
Aarhus,1993,271272
Aarhus,1994,274535
Aarhus,1995,277477
Aarhus,1996,279759
Aarhus,1997,281396
Aarhus,1998,282137
Aarhus,1999,283673
Aarhus,2000,284846
Aarhus,2001,286668
Aarhus,2002,288837
Aarhus,2003,291258
Aarhus,2004,293510
Aarhus,2005,294954
Aarhus,2006,295513
Aarhus,2007,298538
Aarhus,2008,302618
Aarhus,2009,306650
Aarhus,2010,310956
Aarhus,2011,314545
Aarhus,2012,319094
Aarhus,2013,323893
Aarhus,2014,326246
Aarhus,2015,330639
Aarhus,2016,335684
Aarhus,2017,340421
Aarhus,2018,345332
Aarhus,2019,349983
Aarhus,2020,352751
Aarhus,2021,355238
Aarhus,2022,361544
Aarhus,2023,367095
Aarhus,2024,373388
Aarhus,2025,378361
Albertslund,1992,29572
Albertslund,1993,29611
Albertslund,1994,29570
Albertslund,1995,29389
Albertslund,1996,29207
Albertslund,1997,29442
Albertslund,1998,29411
Albertslund,1999,29315
Albertslund,2000,29331
Albertslund,2001,29201
Albertslund,2002,29130
Albertslund,2003,28839
Albertslund,2004,28498
Albertslund,2005,28146
Albertslund,2006,27853
Albertslund,2007,27602
Albertslund,2008,27706
Albertslund,2009,27730
Albertslund,2010,27800
Albertslund,2011,27864
Albertslund,2012,27824
Albertslund,2013,27728
Albertslund,2014,27806
Albertslund,2015,27880
Albertslund,2016,27896
Albertslund,2017,27743
Albertslund,2018,27877
Albertslund,2019,27731
Albertslund,2020,27366
Albertslund,2021,27599
Albertslund,2022,27530
Albertslund,2023,27677
Albertslund,2024,28117
Albertslund,2025,29262
Allerød,1992,21690
Allerød,1993,21581
Allerød,1994,21747
Allerød,1995,21844
Allerød,1996,22159
Allerød,1997,22423
Allerød,1998,22661
Allerød,1999,22911
Allerød,2000,22943
Allerød,2001,23079
Allerød,2002,23070
Allerød,2003,23374
Allerød,2004,23425
Allerød,2005,23458
Allerød,2006,23498
Allerød,2007,23493
Allerød,2008,23821
Allerød,2009,24089
Allerød,2010,24096
Allerød,2011,24043
Allerød,2012,24073
Allerød,2013,24175
Allerød,2014,24411
Allerød,2015,24732
Allerød,2016,24942
Allerød,2017,25235
Allerød,2018,25646
Allerød,2019,25633
Allerød,2020,25893
Allerød,2021,25867
Allerød,2022,26061
Allerød,2023,25962
Allerød,2024,26128
Allerød,2025,26496
Assens,1992,40251
Assens,1993,40281
Assens,1994,40402
Assens,1995,40460
Assens,1996,40597
Assens,1997,40735
Assens,1998,40703
Assens,1999,40780
Assens,2000,40869
Assens,2001,41055
Assens,2002,41226
Assens,2003,41141
Assens,2004,41109
Assens,2005,41201
Assens,2006,41369
Assens,2007,42054
Assens,2008,42128
Assens,2009,42054
Assens,2010,41635
Assens,2011,41443
Assens,2012,41325
Assens,2013,41037
Assens,2014,41046
Assens,2015,41224
Assens,2016,41390
Assens,2017,41328
Assens,2018,41212
Assens,2019,40965
Assens,2020,40867
Assens,2021,40972
Assens,2022,40944
Assens,2023,40646
Assens,2024,40469
Assens,2025,40369
Ballerup,1992,45476
Ballerup,1993,45427
Ballerup,1994,45293
Ballerup,1995,45356
Ballerup,1996,45310
Ballerup,1997,45080
Ballerup,1998,45276
Ballerup,1999,45286
Ballerup,2000,45317
Ballerup,2001,45724
Ballerup,2002,46342
Ballerup,2003,46443
Ballerup,2004,46610
Ballerup,2005,46759
Ballerup,2006,46654
Ballerup,2007,47116
Ballerup,2008,47398
Ballerup,2009,47652
Ballerup,2010,47930
Ballerup,2011,47994
Ballerup,2012,48211
Ballerup,2013,48514
Ballerup,2014,48355
Ballerup,2015,48224
Ballerup,2016,48231
Ballerup,2017,48295
Ballerup,2018,48458
Ballerup,2019,48602
Ballerup,2020,49310
Ballerup,2021,49274
Ballerup,2022,50039
Ballerup,2023,51237
Ballerup,2024,52939
Ballerup,2025,53950
Billund,1992,25181
Billund,1993,25342
Billund,1994,25507
Billund,1995,25645
Billund,1996,25783
Billund,1997,25923
Billund,1998,26115
Billund,1999,26072
Billund,2000,26033
Billund,2001,26032
Billund,2002,26013
Billund,2003,26021
Billund,2004,26143
Billund,2005,26076
Billund,2006,26133
Billund,2007,26181
Billund,2008,26235
Billund,2009,26160
Billund,2010,26155
Billund,2011,26220
Billund,2012,26357
Billund,2013,26318
Billund,2014,26285
Billund,2015,26434
Billund,2016,26481
Billund,2017,26482
Billund,2018,26629
Billund,2019,26608
Billund,2020,26551
Billund,2021,26631
Billund,2022,27021
Billund,2023,27119
Billund,2024,27168
Billund,2025,27200
Bornholm,1992,90964
Bornholm,1993,90334
Bornholm,1994,90022
Bornholm,1995,89759
Bornholm,1996,90262
Bornholm,1997,89942
Bornholm,1998,89474
Bornholm,1999,88955
Bornholm,2000,88575
Bornholm,2001,88150
Bornholm,2002,88288
Bornholm,2003,43956
Bornholm,2004,43673
Bornholm,2005,43347
Bornholm,2006,43245
Bornholm,2007,42817
Bornholm,2008,42563
Bornholm,2009,42154
Bornholm,2010,41802
Bornholm,2011,41303
Bornholm,2012,40715
Bornholm,2013,40215
Bornholm,2014,39828
Bornholm,2015,39756
Bornholm,2016,39695
Bornholm,2017,39632
Bornholm,2018,39572
Bornholm,2019,39499
Bornholm,2020,39570
Bornholm,2021,39545
Bornholm,2022,39602
Bornholm,2023,39332
Bornholm,2024,38966
Bornholm,2025,38677
Brøndby,1992,33794
Brøndby,1993,33746
Brøndby,1994,33634
Brøndby,1995,33579
Brøndby,1996,34388
Brøndby,1997,34458
Brøndby,1998,34360
Brøndby,1999,34391
Brøndby,2000,34354
Brøndby,2001,34498
Brøndby,2002,34542
Brøndby,2003,34676
Brøndby,2004,34708
Brøndby,2005,34513
Brøndby,2006,34247
Brøndby,2007,33831
Brøndby,2008,33762
Brøndby,2009,33795
Brøndby,2010,34021
Brøndby,2011,34084
Brøndby,2012,34210
Brøndby,2013,34580
Brøndby,2014,35050
Brøndby,2015,35322
Brøndby,2016,35594
Brøndby,2017,35538
Brøndby,2018,35397
Brøndby,2019,35090
Brøndby,2020,35232
Brøndby,2021,35651
Brøndby,2022,37128
Brøndby,2023,39067
Brøndby,2024,40401
Brøndby,2025,40990
Brønderslev,1992,35302
Brønderslev,1993,35204
Brønderslev,1994,35285
Brønderslev,1995,35205
Brønderslev,1996,35088
Brønderslev,1997,35127
Brønderslev,1998,35241
Brønderslev,1999,35219
Brønderslev,2000,35249
Brønderslev,2001,35296
Brønderslev,2002,35397
Brønderslev,2003,35518
Brønderslev,2004,35508
Brønderslev,2005,35320
Brønderslev,2006,35313
Brønderslev,2007,35525
Brønderslev,2008,35762
Brønderslev,2009,35804
Brønderslev,2010,35789
Brønderslev,2011,35754
Brønderslev,2012,35600
Brønderslev,2013,35627
Brønderslev,2014,35781
Brønderslev,2015,36047
Brønderslev,2016,36128
Brønderslev,2017,36289
Brønderslev,2018,36370
Brønderslev,2019,36304
Brønderslev,2020,36177
Brønderslev,2021,36194
Brønderslev,2022,36540
Brønderslev,2023,36614
Brønderslev,2024,36706
Brønderslev,2025,36529
Dragør,1992,12365
Dragør,1993,12374
Dragør,1994,12329
Dragør,1995,12484
Dragør,1996,12519
Dragør,1997,12725
Dragør,1998,12778
Dragør,1999,12789
Dragør,2000,12753
Dragør,2001,12912
Dragør,2002,13075
Dragør,2003,13028
Dragør,2004,13076
Dragør,2005,13156
Dragør,2006,13154
Dragør,2007,13261
Dragør,2008,13411
Dragør,2009,13564
Dragør,2010,13717
Dragør,2011,13692
Dragør,2012,13917
Dragør,2013,13977
Dragør,2014,14028
Dragør,2015,14142
Dragør,2016,14288
Dragør,2017,14272
Dragør,2018,14270
Dragør,2019,14494
Dragør,2020,14569
Dragør,2021,14640
Dragør,2022,14609
Dragør,2023,14569
Dragør,2024,14450
Dragør,2025,14474
Egedal,1992,35676
Egedal,1993,35809
Egedal,1994,36089
Egedal,1995,36081
Egedal,1996,36359
Egedal,1997,36868
Egedal,1998,37293
Egedal,1999,37485
Egedal,2000,37733
Egedal,2001,37967
Egedal,2002,38176
Egedal,2003,38464
Egedal,2004,38585
Egedal,2005,39267
Egedal,2006,39948
Egedal,2007,40533
Egedal,2008,41031
Egedal,2009,41513
Egedal,2010,41614
Egedal,2011,41821
Egedal,2012,42018
Egedal,2013,42210
Egedal,2014,42573
Egedal,2015,42773
Egedal,2016,43082
Egedal,2017,43000
Egedal,2018,43335
Egedal,2019,43354
Egedal,2020,43696
Egedal,2021,44375
Egedal,2022,45202
Egedal,2023,45532
Egedal,2024,45563
Egedal,2025,46240
Esbjerg,1992,112853
Esbjerg,1993,113493
Esbjerg,1994,113917
Esbjerg,1995,113918
Esbjerg,1996,114462
Esbjerg,1997,114376
Esbjerg,1998,114524
Esbjerg,1999,114653
Esbjerg,2000,114589
Esbjerg,2001,114404
Esbjerg,2002,114148
Esbjerg,2003,114072
Esbjerg,2004,114135
Esbjerg,2005,114097
Esbjerg,2006,113755
Esbjerg,2007,114244
Esbjerg,2008,114595
Esbjerg,2009,115114
Esbjerg,2010,115184
Esbjerg,2011,115112
Esbjerg,2012,115051
Esbjerg,2013,115095
Esbjerg,2014,115446
Esbjerg,2015,115748
Esbjerg,2016,115905
Esbjerg,2017,116032
Esbjerg,2018,115652
Esbjerg,2019,115483
Esbjerg,2020,115579
Esbjerg,2021,115459
Esbjerg,2022,115758
Esbjerg,2023,115423
Esbjerg,2024,115157
Esbjerg,2025,114947
Faaborg-Midtfyn,1992,50402
Faaborg-Midtfyn,1993,50619
Faaborg-Midtfyn,1994,50611
Faaborg-Midtfyn,1995,50671
Faaborg-Midtfyn,1996,50820
Faaborg-Midtfyn,1997,50714
Faaborg-Midtfyn,1998,50771
Faaborg-Midtfyn,1999,50827
Faaborg-Midtfyn,2000,50763
Faaborg-Midtfyn,2001,50674
Faaborg-Midtfyn,2002,50733
Faaborg-Midtfyn,2003,50868
Faaborg-Midtfyn,2004,51015
Faaborg-Midtfyn,2005,51144
Faaborg-Midtfyn,2006,51144
Faaborg-Midtfyn,2007,51950
Faaborg-Midtfyn,2008,52108
Faaborg-Midtfyn,2009,52085
Faaborg-Midtfyn,2010,51926
Faaborg-Midtfyn,2011,51635
Faaborg-Midtfyn,2012,51409
Faaborg-Midtfyn,2013,51078
Faaborg-Midtfyn,2014,50953
Faaborg-Midtfyn,2015,51236
Faaborg-Midtfyn,2016,51376
Faaborg-Midtfyn,2017,51536
Faaborg-Midtfyn,2018,51809
Faaborg-Midtfyn,2019,51556
Faaborg-Midtfyn,2020,51683
Faaborg-Midtfyn,2021,51849
Faaborg-Midtfyn,2022,52253
Faaborg-Midtfyn,2023,52291
Faaborg-Midtfyn,2024,52284
Faaborg-Midtfyn,2025,52328
Fanø,1992,3178
Fanø,1993,3153
Fanø,1994,3192
Fanø,1995,3209
Fanø,1996,3272
Fanø,1997,3241
Fanø,1998,3269
Fanø,1999,3267
Fanø,2000,3214
Fanø,2001,3212
Fanø,2002,3227
Fanø,2003,3169
Fanø,2004,3169
Fanø,2005,3151
Fanø,2006,3143
Fanø,2007,3192
Fanø,2008,3207
Fanø,2009,3219
Fanø,2010,3213
Fanø,2011,3251
Fanø,2012,3237
Fanø,2013,3264
Fanø,2014,3263
Fanø,2015,3290
Fanø,2016,3345
Fanø,2017,3401
Fanø,2018,3404
Fanø,2019,3488
Fanø,2020,3456
Fanø,2021,3427
Fanø,2022,3426
Fanø,2023,3357
Fanø,2024,3270
Fanø,2025,3332
Favrskov,1992,37230
Favrskov,1993,37438
Favrskov,1994,37395
Favrskov,1995,37798
Favrskov,1996,38152
Favrskov,1997,38594
Favrskov,1998,38989
Favrskov,1999,39227
Favrskov,2000,39746
Favrskov,2001,39973
Favrskov,2002,40431
Favrskov,2003,40698
Favrskov,2004,41075
Favrskov,2005,41596
Favrskov,2006,42123
Favrskov,2007,45604
Favrskov,2008,46248
Favrskov,2009,46529
Favrskov,2010,46894
Favrskov,2011,47117
Favrskov,2012,47156
Favrskov,2013,47163
Favrskov,2014,47523
Favrskov,2015,47655
Favrskov,2016,47915
Favrskov,2017,48271
Favrskov,2018,48374
Favrskov,2019,48397
Favrskov,2020,48381
Favrskov,2021,48880
Favrskov,2022,49408
Favrskov,2023,49377
Favrskov,2024,49359
Favrskov,2025,49773
Faxe,1992,32033
Faxe,1993,32175
Faxe,1994,32246
Faxe,1995,32354
Faxe,1996,32570
Faxe,1997,32462
Faxe,1998,32838
Faxe,1999,33139
Faxe,2000,33150
Faxe,2001,33577
Faxe,2002,33682
Faxe,2003,33832
Faxe,2004,34220
Faxe,2005,34313
Faxe,2006,34661
Faxe,2007,35418
Faxe,2008,35441
Faxe,2009,35306
Faxe,2010,35277
Faxe,2011,35110
Faxe,2012,35123
Faxe,2013,35119
Faxe,2014,35195
Faxe,2015,35614
Faxe,2016,35916
Faxe,2017,36139
Faxe,2018,36513
Faxe,2019,36576
Faxe,2020,36713
Faxe,2021,37161
Faxe,2022,37344
Faxe,2023,37753
Faxe,2024,37820
Faxe,2025,38143
Fredensborg,1992,37699
Fredensborg,1993,37856
Fredensborg,1994,38277
Fredensborg,1995,38484
Fredensborg,1996,38491
Fredensborg,1997,38857
Fredensborg,1998,39004
Fredensborg,1999,39041
Fredensborg,2000,39222
Fredensborg,2001,39352
Fredensborg,2002,39318
Fredensborg,2003,39500
Fredensborg,2004,39414
Fredensborg,2005,39187
Fredensborg,2006,39131
Fredensborg,2007,39240
Fredensborg,2008,39254
Fredensborg,2009,39226
Fredensborg,2010,39341
Fredensborg,2011,39565
Fredensborg,2012,39462
Fredensborg,2013,39585
Fredensborg,2014,39772
Fredensborg,2015,40112
Fredensborg,2016,40504
Fredensborg,2017,40779
Fredensborg,2018,40819
Fredensborg,2019,40865
Fredensborg,2020,40998
Fredensborg,2021,41211
Fredensborg,2022,41689
Fredensborg,2023,42009
Fredensborg,2024,42186
Fredensborg,2025,42445
Fredericia,1992,46617
Fredericia,1993,46817
Fredericia,1994,46952
Fredericia,1995,47037
Fredericia,1996,47260
Fredericia,1997,47616
Fredericia,1998,47837
Fredericia,1999,47947
Fredericia,2000,48066
Fredericia,2001,48216
Fredericia,2002,48487
Fredericia,2003,48533
Fredericia,2004,48857
Fredericia,2005,49147
Fredericia,2006,49252
Fredericia,2007,49463
Fredericia,2008,49690
Fredericia,2009,49849
Fredericia,2010,50104
Fredericia,2011,50193
Fredericia,2012,50374
Fredericia,2013,50324
Fredericia,2014,50429
Fredericia,2015,50689
Fredericia,2016,50868
Fredericia,2017,51326
Fredericia,2018,51427
Fredericia,2019,51377
Fredericia,2020,51275
Fredericia,2021,51606
Fredericia,2022,52173
Fredericia,2023,52485
Fredericia,2024,52616
Fredericia,2025,52939
Frederiksberg,1992,86372
Frederiksberg,1993,87173
Frederiksberg,1994,87466
Frederiksberg,1995,88002
Frederiksberg,1996,88789
Frederiksberg,1997,89230
Frederiksberg,1998,89507
Frederiksberg,1999,90227
Frederiksberg,2000,90327
Frederiksberg,2001,91076
Frederiksberg,2002,91322
Frederiksberg,2003,91435
Frederiksberg,2004,91721
Frederiksberg,2005,91886
Frederiksberg,2006,91855
Frederiksberg,2007,93444
Frederiksberg,2008,95029
Frederiksberg,2009,96718
Frederiksberg,2010,98782
Frederiksberg,2011,100215
Frederiksberg,2012,102029
Frederiksberg,2013,102717
Frederiksberg,2014,103192
Frederiksberg,2015,104481
Frederiksberg,2016,105037
Frederiksberg,2017,104410
Frederiksberg,2018,103960
Frederiksberg,2019,104305
Frederiksberg,2020,103677
Frederiksberg,2021,103608
Frederiksberg,2022,104664
Frederiksberg,2023,104899
Frederiksberg,2024,105840
Frederiksberg,2025,106150
Frederikshavn,1992,66896
Frederikshavn,1993,66925
Frederikshavn,1994,66678
Frederikshavn,1995,66388
Frederikshavn,1996,66478
Frederikshavn,1997,66181
Frederikshavn,1998,66055
Frederikshavn,1999,65849
Frederikshavn,2000,65749
Frederikshavn,2001,65484
Frederikshavn,2002,64992
Frederikshavn,2003,64705
Frederikshavn,2004,64209
Frederikshavn,2005,63799
Frederikshavn,2006,63084
Frederikshavn,2007,62751
Frederikshavn,2008,62525
Frederikshavn,2009,62007
Frederikshavn,2010,61576
Frederikshavn,2011,61158
Frederikshavn,2012,60775
Frederikshavn,2013,60458
Frederikshavn,2014,60377
Frederikshavn,2015,60246
Frederikshavn,2016,60356
Frederikshavn,2017,60140
Frederikshavn,2018,59987
Frederikshavn,2019,59654
Frederikshavn,2020,59039
Frederikshavn,2021,58878
Frederikshavn,2022,58864
Frederikshavn,2023,58376
Frederikshavn,2024,57882
Frederikshavn,2025,57523
Frederikssund,1992,39299
Frederikssund,1993,39682
Frederikssund,1994,39963
Frederikssund,1995,40139
Frederikssund,1996,40545
Frederikssund,1997,40885
Frederikssund,1998,41099
Frederikssund,1999,41615
